RegistrationID,BuildingID,BoroID_x,Boro,HouseNumber,LowHouseNumber,HighHouseNumber,StreetName,StreetCode,Zip,Block,Lot,BIN,CommunityBoard,LastRegistrationDate,RegistrationEndDate,ADDRESS_ID,H_NO,the_geom,HNO_SUFFIX,HYPHEN_TYP,SIDE_OF_ST,SPECIAL_CO,BOROCODE,ZIPCODE,CREATED,MODIFIED,ST_NAME,HN_RNG_SUF,HN_RNG,PHYSICALID,PRE_MODIFI,PRE_DIRECT,PRE_TYPE,POST_TYPE,POST_DIREC,POST_MODIF,FULL_STREE,geometry,250m_to_2018_dev,no_proximity_newdev_x,lat,lon,apt_num,Unnamed: 0,year,no_proximity_newdev_y,BoroID_y,rent_price_cleaned,Co-purchase Allowed,Sublets Allowed,Smoke-free,Bike Room,Swimming Pool,NYC Storm Zone 6,Cats and Dogs Allowed,NYC Storm Zone 4,Pets Allowed,Package Room,Doorman,Full-time Doorman,NYC Storm Zone 3,Children's Playroom,Virtual Doorman,Garden,Parking Available,Concierge,Gym,Laundry in Building,Patio,Parents Buying Allowed,Hot Tub,Garage Parking,NYC Storm Zone 1,Valet,NYC Storm Zone 5,Pied-a-Terre Allowed,Green Building,Live-in Super,Roof Deck,Elevator,Cold Storage,Deck,Waterfront,NYC Storm Zone 2,Storage Available,Community Recreation Facilities,Media Room,has_amenity
301132,327123,3,BROOKLYN,188,188,188,LINDEN BOULEVARD,56230,11226.0,5088,16,3116811.0,17,07/28/2020,09/01/2021,3155421,188,POINT (-73.95162011342939 40.65232286867782),,N,2,,3,11226.0,02/13/2009 12:00:00 AM +0000,,LINDEN,,,46130,,,,BLVD,,,LINDEN BLVD,POINT (-73.95162011342939 40.65232286867782),True,False,-73.9516201134294,40.65232286867782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
216829,85842,2,BRONX,2550,2550,2550,HOLLAND AVENUE,40320,10467.0,4435,26,2051386.0,11,12/11/2015,09/01/2016,2056698,2550,POINT (-73.8652371457149 40.864800774770735),,N,2,,2,10467.0,03/16/2009 12:00:00 AM +0000,,HOLLAND,,,94017,,,,AVE,,,HOLLAND AVE,POINT (-73.8652371457149 40.86480077477074),True,False,-73.8652371457149,40.864800774770735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
316758,373207,3,BROOKLYN,10,10,10,ST ANDREWS PLACE,79830,11216.0,1869,19,3054017.0,3,08/02/2019,11/01/2020,3067741,10,POINT (-73.94324235911982 40.678954633474696),,N,2,,3,11216.0,02/13/2009 12:00:00 AM +0000,,ST ANDREWS,,,91354,,,,PL,,,ST ANDREWS PL,POINT (-73.94324235911982 40.6789546334747),True,False,-73.94324235911982,40.678954633474696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
310392,313531,3,BROOKLYN,364,364,364,HOOPER STREET,50530,11211.0,2425,1,3063201.0,1,12/11/2020,09/01/2021,3081317,364,POINT (-73.95265035228176 40.70904590113348),,N,2,,3,11211.0,02/13/2009 12:00:00 AM +0000,06/20/2017 12:00:00 AM +0000,HOOPER,,,46857,,,,ST,,,HOOPER ST,POINT (-73.95265035228176 40.70904590113348),True,False,-73.95265035228176,40.70904590113348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
213769,49256,2,BRONX,764,764,764,BECK STREET,12120,10455.0,2707,50,2005528.0,2,08/29/2020,09/01/2021,2010633,764,POINT (-73.89844649486571 40.81642778970932),,N,2,,2,10455.0,03/16/2009 12:00:00 AM +0000,,BECK,,,74388,,,,ST,,,BECK ST,POINT (-73.89844649486571 40.81642778970932),True,False,-73.89844649486571,40.81642778970932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
340978,230461,3,BROOKLYN,902,902,902,DE KALB AVENUE,31530,11221.0,1601,2,3043205.0,3,07/24/2019,11/01/2020,3053829,167,POINT (-73.939783654256 40.69247066294692),,N,1,,3,11221.0,02/13/2009 12:00:00 AM +0000,10/27/2017 12:00:00 AM +0000,MARCUS GARVEY,,,48978,,,,BLVD,,,MARCUS GARVEY BLVD,POINT (-73.939783654256 40.69247066294692),True,False,-73.939783654256,40.69247066294692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
203133,97526,2,BRONX,2244,2244,2244,MORRIS AVENUE,52120,10453.0,3171,5,2013861.0,5,10/13/2020,09/01/2021,2024836,2244,POINT (-73.9024276881013 40.85705902626994),,N,2,,2,10453.0,03/16/2009 12:00:00 AM +0000,,MORRIS,,,59803,,,,AVE,,,MORRIS AVE,POINT (-73.9024276881013 40.85705902626994),True,False,-73.9024276881013,40.85705902626994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
818451,214280,3,BROOKLYN,805,805,805,BROADWAY,23230,11206.0,3132,5,3071690.0,4,11/02/2020,09/01/2021,3094492,805,POINT (-73.93998327282515 40.69978329610493),,N,1,,3,11206.0,02/13/2009 12:00:00 AM +0000,06/14/2016 12:00:00 AM +0000,BROADWAY,,,43983,,,,,,,BROADWAY,POINT (-73.93998327282515 40.69978329610493),True,False,-73.93998327282516,40.69978329610493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
919642,576485,4,QUEENS,127-01,127-01,127-01,172 STREET,24740,11434.0,12519,10,4270129.0,12,02/12/2018,09/01/2018,299737,127-01,POINT (-73.77131865285399 40.68031560538067),,Q,1,,4,11434.0,09/23/2008 12:00:00 AM +0000,,172,,,97366,,,,ST,,,172 ST,POINT (-73.77131865285399 40.68031560538067),True,False,-73.77131865285398,40.68031560538067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
810472,890654,3,BROOKLYN,4,4,4,VERONA STREET,88330,11231.0,524,1,3008340.0,6,02/09/2021,09/01/2021,3010786,4,POINT (-74.00644375766919 40.67784749173366),A,N,2,,3,11231.0,02/13/2009 12:00:00 AM +0000,01/08/2015 12:00:00 AM +0000,VERONA,,,55030,,,,ST,,,VERONA ST,POINT (-74.00644375766919 40.67784749173366),True,False,-74.00644375766919,40.67784749173366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
334415,366794,3,BROOKLYN,236,236,236,SCHAEFER STREET,75230,11207.0,3430,20,3079542.0,4,02/22/2012,10/01/2012,3105592,236,POINT (-73.90633208321591 40.69102407454153),,N,2,,3,11207.0,02/13/2009 12:00:00 AM +0000,,SCHAEFER,,,89173,,,,ST,,,SCHAEFER ST,POINT (-73.90633208321591 40.69102407454153),True,False,-73.9063320832159,40.69102407454153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
811111,321234,3,BROOKLYN,308,308,308,KNICKERBOCKER AVENUE,54100,11237.0,3219,33,3073182.0,4,05/21/2019,09/01/2019,3097074,308,POINT (-73.92341250950044 40.70155476477061),,N,2,,3,11237.0,02/13/2009 12:00:00 AM +0000,,KNICKERBOCKER,,,70466,,,,AVE,,,KNICKERBOCKER AVE,POINT (-73.92341250950044 40.70155476477061),True,False,-73.92341250950044,40.701554764770606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
