,BIN,apt_num,price_diff,rooms,bedrooms,bath,no_proximity_newdev,BoroID
216,3075163.0,7,0.04931669637551991,2,2,1,False,3
217,3075323.0,1,-0.06153846153846154,5,4,1.5,False,3
218,3075323.0,3,-0.05641025641025646,6,4,2,False,3
219,3075584.0,7,0.21621621621621623,4,2,1,False,3
220,3076153.0,3,0.030303030303030304,5,3,2,False,3
221,3076153.0,7,0.030303030303030304,7,3,2,False,3
222,3077455.0,2,-0.02547008547008551,3,2,1,False,3
223,3077455.0,3,-0.024271252591779487,4,2,1,False,3
224,3079604.0,7,-0.08844444444444445,4,2,1,False,3
225,3080174.0,1,-0.08350701681256086,6,3,1,False,3
226,3080174.0,4,-0.0973249238799478,5,3,1,False,3
227,3080174.0,6,-0.06561761845213276,5,3,1,False,3
228,3080174.0,7,-0.08349632859845452,5,3,1,False,3
229,3108486.0,3,-0.11837327523602027,4,3,1,True,3
230,3108486.0,7,-0.12200435729847495,5,3,1,True,3
231,3135380.0,1,-0.03333333333333333,3,1,1,True,3
232,3135380.0,2,-0.03333333333333333,3,1,1,True,3
233,3154052.0,3,-0.22568093385214008,3,0,1,True,3
234,3320962.0,2,-0.14285714285714285,3,1,1,True,3
235,3320962.0,6,-0.14285714285714285,2,1,1,True,3
236,3320962.0,7,-0.14285714285714285,3,1,1,True,3
237,3324487.0,4,0.0,3,1,1,False,3
238,3324487.0,5,-0.012048192771084393,3,1,1,False,3
239,3325917.0,1,0.031578947368421054,1,0,1,True,3
240,3388180.0,1,0.02816901408450698,4,2,1,False,3
241,3388180.0,4,0.02816901408450698,5,2,1,False,3
242,3394348.0,7,0.15826923076923072,4,2,2.5,True,3
243,3396713.0,7,-0.04902897166507482,4,2,2,False,3
244,3425148.0,5,-0.03461538461538462,5,3,1,False,3
245,4002125.0,3,0.0,7,3,1.5,True,4
246,4008048.0,2,-0.012514220705346985,4,2,1,True,4
247,4010081.0,5,-0.022727272727272728,5,2,1,True,4
248,4010081.0,6,-0.022727272727272728,5,2,1,True,4
249,4012142.0,1,-0.09166666666666674,4,2,1,True,4
250,4015492.0,3,0.0,6,3,2,True,4
251,4015492.0,4,0.0,5,3,2,True,4
252,4029851.0,3,-0.0967741935483871,2,0,1,True,4
253,4029851.0,6,-0.0967741935483871,2,0,1,True,4
254,4035828.0,1,0.08593750000000007,3,1,1,True,4
255,4083456.0,2,-0.04669887278582931,4,3,1,True,4
256,4137639.0,1,-0.06993942254739982,4,2,1,True,4
257,4206527.0,1,-0.08196721311475409,3,1,1,True,4
258,4430914.0,1,0.02240325865580448,4,2,1,True,4
259,4430914.0,4,0.06666666666666667,6,3,2,True,4
260,4431832.0,3,0.02127659574468085,4,1,1,True,4
261,4431832.0,6,0.028169014084507043,4,1,1,True,4
